M101,1001,20.0
M102,1001,77.0
M103,1001,26.0
M104,1001,1.0
M105,1001,20.0
M101,1002,81.0
M102,1002,44.0
M103,1002,43.0
M104,1002,72.0
M105,1002,2.0
M101,1003,3.0
M102,1003,11.0
M103,1003,0.0
M104,1003,84.0
M105,1003,83.0
M101,1004,89.0
M102,1004,96.0
M103,1004,40.0
M104,1004,80.0
M105,1004,51.0
M101,1005,48.0
M102,1005,75.0
M103,1005,21.0
M104,1005,45.0
M105,1005,93.0
M101,1006,96.0
M102,1006,27.0
M103,1006,42.0
M104,1006,67.0
M105,1006,5.0
M101,1007,33.0
M102,1007,67.0
M103,1007,24.0
M104,1007,37.0
M105,1007,34.0
M101,1008,21.0
M102,1008,10.0
M103,1008,45.0
M104,1008,73.0
M105,1008,3.0
M101,1009,21.0
M102,1009,17.0
M103,1009,88.0
M104,1009,46.0
M105,1009,60.0
M101,1010,48.0
M102,1010,44.0
M103,1010,96.0
M104,1010,82.0
M105,1010,16.0
